,0
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,100000.0
2023-01-16,100000.0
2023-01-17,100000.0
2023-01-18,100000.0
2023-01-19,100000.0
2023-01-20,100000.0
2023-01-23,100000.0
2023-01-24,100000.0
2023-01-25,100000.0
2023-01-26,100000.0
2023-01-27,100000.0
2023-01-30,100000.0
2023-01-31,80000.0
2023-02-01,80471.75912930965
2023-02-02,81082.0630532096
2023-02-03,80964.71679227051
2023-02-06,80804.29125224163
2023-02-07,80282.61367124041
2023-02-08,80266.27421264886
2023-02-09,79812.44877319453
2023-02-10,79514.7212543421
2023-02-13,79165.92027500215
2023-02-14,79009.61735388558
2023-02-15,78719.46839701133
2023-02-16,79630.40771717406
2023-02-17,79753.95904523232
2023-02-20,70642.08455557682
2023-02-21,80234.93162532666
2023-02-22,80033.9515921248
2023-02-23,79632.11932348688
2023-02-24,79345.09293157402
2023-02-27,78902.39897873634
2023-02-28,79668.98854055014
2023-03-01,80351.1634674899
2023-03-02,80739.08193129541
2023-03-03,80036.64772331361
2023-03-06,80180.9380925853
2023-03-07,80060.42247602528
2023-03-08,80379.35596778034
2023-03-09,80237.93233164227
2023-03-10,80060.40943550383
2023-03-13,79249.24403913725
2023-03-14,79530.86201219485
2023-03-15,79365.62188518858
2023-03-16,78031.27426973308
2023-03-17,77348.60962632156
2023-03-20,77191.58637998346
2023-03-21,77414.6026565213
2023-03-22,77822.80597219754
2023-03-23,78015.31801060078
2023-03-24,78855.12568070424
2023-03-27,78205.32448613859
2023-03-28,78284.33070072794
2023-03-29,78375.1137196808
2023-03-30,78660.90865625415
2023-03-31,79335.59302164006
2023-04-03,79322.94362861925
2023-04-04,79359.77716298855
2023-04-05,79894.9013613176
2023-04-06,79714.8427546045
2023-04-10,11055.82118841021
2023-04-11,80118.46171079195
2023-04-12,81387.19858813836
2023-04-13,80809.17830590962
2023-04-14,81710.633390311
2023-04-17,81473.23345807531
2023-04-18,81673.75231408805
2023-04-19,82004.47223376876
2023-04-20,81867.02124576594
2023-04-21,81203.05263987808
2023-04-24,80954.35596181844
2023-04-25,11071.76990817166
2023-04-26,80272.09457094854
2023-04-27,80040.16987018897
2023-04-28,79899.46173586999
2023-05-01,80000.0
2023-05-02,79797.55590354028
2023-05-03,79268.22084598831
2023-05-04,80022.55769868146
2023-05-05,79622.07532913746
2023-05-08,79910.96540977925
2023-05-09,79842.76471888924
2023-05-10,80129.93005020992
2023-05-11,79839.35892271018
2023-05-12,78786.46116947326
2023-05-15,79245.57487123886
2023-05-16,79712.7929732663
2023-05-17,79206.2234638546
2023-05-18,79171.53062482446
2023-05-19,78655.83981360198
2023-05-22,78772.21374445233
2023-05-23,79271.19017400658
2023-05-24,78971.89510039118
2023-05-25,78374.0169507293
2023-05-26,77911.58744498678
2023-05-29,68691.00489374614
2023-05-30,77915.07638901188
2023-05-31,77846.0647619657
2023-06-01,77861.97474133942
2023-06-02,78123.41171721356
2023-06-05,78424.33265482778
2023-06-06,78415.26670005987
2023-06-07,78273.62683305983
2023-06-08,78816.68745120635
2023-06-09,79063.33160077408
2023-06-12,9558.948938167066
2023-06-13,79344.62988933649
2023-06-14,79508.54967317836
2023-06-15,79300.72639700268
2023-06-16,79669.92338716226
2023-06-19,70183.2978579151
2023-06-20,79446.78961210791
2023-06-21,79022.04781024654
2023-06-22,78596.40433844755
2023-06-23,77970.63868529306
2023-06-26,77599.02213344582
2023-06-27,77495.43815499506
2023-06-28,77841.61917705067
2023-06-29,78170.53269516006
2023-06-30,77876.44461471193
2023-07-03,78311.3889458351
2023-07-04,69219.61179442117
2023-07-05,78225.32499076167
2023-07-06,77707.38821871545
2023-07-07,77127.97047011107
2023-07-10,77434.2218418215
2023-07-11,78007.44744310282
2023-07-12,78118.30919210963
