,0
2024-10-01,100000.0
2024-10-02,100019.0027083795
2024-10-03,99813.91258789295
2024-10-04,99832.08792317321
2024-10-07,100145.06167111508
2024-10-08,99626.26149978215
2024-10-09,98800.30796704383
2024-10-10,99122.27185761806
2024-10-11,99316.00365245569
2024-10-14,99922.53539540795
2024-10-15,99660.25086932787
2024-10-16,99840.30455476783
2024-10-17,100001.7263775311
2024-10-18,99675.21650770798
2024-10-21,100000.0
2024-10-22,99871.26149517506
2024-10-23,99653.5070608402
2024-10-24,99343.16023855089
2024-10-25,99531.54500594513
2024-10-28,99658.49521330827
2024-10-29,100369.82763654483
2024-10-30,100069.49706436455
2024-10-31,100358.38695100282
2024-11-01,99958.03431485164
2024-11-04,100303.4590131616
2024-11-05,100452.6131664941
2024-11-06,100968.97693649217
2024-11-07,99205.93423057935
2024-11-08,99232.03389799909
2024-11-11,100000.0
2024-11-12,99781.98495510273
2024-11-13,99023.97109042201
2024-11-14,98755.21609356425
2024-11-15,99138.67691096436
2024-11-18,98548.49564074623
2024-11-19,98855.51102248109
2024-11-20,98571.26468734979
2024-11-21,98610.88874432817
2024-11-22,98843.24221155354
2024-11-25,99533.65371743299
2024-11-26,99557.15078062896
2024-11-27,99575.60454349074
2024-11-28,100038.85408780155
2024-11-29,99913.0976852037
2024-12-02,100000.0
2024-12-03,100063.01892123793
2024-12-04,100475.92360373672
2024-12-05,100370.59859748303
2024-12-06,100344.98011401562
2024-12-09,100558.928042914
2024-12-10,101097.70103374125
2024-12-11,101067.631868724
2024-12-12,101105.42435477208
2024-12-13,99644.09070798871
2024-12-16,99324.32307475853
2024-12-17,99016.60679082187
2024-12-18,98873.89291052215
2024-12-19,98109.42380879719
2024-12-20,100000.0
2024-12-23,100677.67221296157
2024-12-24,101173.27290514618
2024-12-26,101173.27290514618
2024-12-27,101351.88673401403
2024-12-30,101071.4773073196
